          ;      805146;   ;Filtro    ;Inicio                                  ;14032017      ;124520;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      805146;   ;Filtro    ;tbk_param.txt                           ;14032017      ;124520;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      805146;   ;Filtro    ;Terminado                               ;14032017      ;124520;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
950632007 ;      805146;   ;pago      ;inicio                                  ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
950632007 ;      805146;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
950632007 ;      805146;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
950632007 ;      805146;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
950632007 ;      805146;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
950632007 ;      805146;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
950632007 ;      805146;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
950632007 ;      805146;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
950632007 ;      805146;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124520;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;      805218;   ;Filtro    ;Inicio                                  ;14032017      ;124542;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      805218;   ;Filtro    ;tbk_param.txt                           ;14032017      ;124542;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      805218;   ;Filtro    ;Terminado                               ;14032017      ;124542;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
950634294 ;      805218;   ;pago      ;inicio                                  ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
950634294 ;      805218;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
950634294 ;      805218;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
950634294 ;      805218;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
950634294 ;      805218;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
950634294 ;      805218;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
950634294 ;      805218;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
950634294 ;      805218;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
950634294 ;      805218;   ;pago      ;https://certificacion.webpay.cl         ;14032017      ;124542;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
