          ;      159027;   ;Filtro    ;Inicio                                  ;24022017      ;065805;181.74.231.140 ;OK ;                    ;Inicio de filtrado                                                      
          ;      159027;   ;Filtro    ;tbk_param.txt                           ;24022017      ;065805;181.74.231.140 ;OK ;                    ;Archivo parseado                                                        
          ;      159027;   ;Filtro    ;Terminado                               ;24022017      ;065805;181.74.231.140 ;OK ;                    ;Datos Filtrados con exito                                               
793028582 ;      159027;   ;pago      ;inicio                                  ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;Parseo realizado                                                        
793028582 ;      159027;   ;pago      ;https://certificacion.webpay.cl         ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
793028582 ;      159027;   ;pago      ;https://certificacion.webpay.cl         ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;Mac generado                                                            
793028582 ;      159027;   ;pago      ;https://certificacion.webpay.cl         ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
793028582 ;      159027;   ;pago      ;https://certificacion.webpay.cl         ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
793028582 ;      159027;   ;pago      ;https://certificacion.webpay.cl         ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;Datos listos para ser enviados                                          
793028582 ;      159027;   ;pago      ;https://certificacion.webpay.cl         ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
793028582 ;      159027;   ;pago      ;https://certificacion.webpay.cl         ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;Redireccion web                                                         
793028582 ;      159027;   ;pago      ;https://certificacion.webpay.cl         ;24022017      ;065805;181.74.231.140 ;OK ;597026007976        ;Todo OK                                                                 
