          ;      899698;   ;Filtro    ;Inicio                                  ;24052017      ;140552;190.162.57.57  ;OK ;                    ;Inicio de filtrado                                                      
          ;      899698;   ;Filtro    ;tbk_param.txt                           ;24052017      ;140552;190.162.57.57  ;OK ;                    ;Archivo parseado                                                        
          ;      899698;   ;Filtro    ;Terminado                               ;24052017      ;140552;190.162.57.57  ;OK ;                    ;Datos Filtrados con exito                                               
564915264 ;      899698;   ;pago      ;inicio                                  ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;Parseo realizado                                                        
564915264 ;      899698;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
564915264 ;      899698;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;Mac generado                                                            
564915264 ;      899698;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
564915264 ;      899698;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
564915264 ;      899698;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;Datos listos para ser enviados                                          
564915264 ;      899698;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
564915264 ;      899698;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;Redireccion web                                                         
564915264 ;      899698;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;140552;190.162.57.57  ;OK ;597026007976        ;Todo OK                                                                 
          ;      918591;   ;Filtro    ;Inicio                                  ;24052017      ;152413;190.162.57.57  ;OK ;                    ;Inicio de filtrado                                                      
          ;      918591;   ;Filtro    ;tbk_param.txt                           ;24052017      ;152413;190.162.57.57  ;OK ;                    ;Archivo parseado                                                        
          ;      918591;   ;Filtro    ;Terminado                               ;24052017      ;152413;190.162.57.57  ;OK ;                    ;Datos Filtrados con exito                                               
565385352 ;      918591;   ;pago      ;inicio                                  ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;Parseo realizado                                                        
565385352 ;      918591;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
565385352 ;      918591;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;Mac generado                                                            
565385352 ;      918591;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
565385352 ;      918591;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
565385352 ;      918591;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;Datos listos para ser enviados                                          
565385352 ;      918591;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
565385352 ;      918591;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;Redireccion web                                                         
565385352 ;      918591;   ;pago      ;https://webpay3gint.transbank.cl        ;24052017      ;152413;190.162.57.57  ;OK ;597026007976        ;Todo OK                                                                 
