          ;      323572;   ;Filtro    ;Inicio                                  ;16052016      ;121510;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      323572;   ;Filtro    ;tbk_param.txt                           ;16052016      ;121510;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      323572;   ;Filtro    ;Terminado                               ;16052016      ;121510;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
341171031 ;      323572;   ;pago      ;inicio                                  ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
341171031 ;      323572;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
341171031 ;      323572;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
341171031 ;      323572;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
341171031 ;      323572;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
341171031 ;      323572;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
341171031 ;      323572;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
341171031 ;      323572;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
341171031 ;      323572;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;121510;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;      323600;   ;resultado ;Desencriptando                          ;16052016      ;121525;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      323600;   ;resultado ;Validacion                              ;16052016      ;121525;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      323600;   ;resultado ;33410                                   ;16052016      ;121525;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      323600;   ;resultado ;33410                                   ;16052016      ;121525;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
341171031 ;      323600;   ;transacc  ;341171031                               ;16052016      ;121525;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
341171031 ;      323600;   ;resultado ;logro abrir_conexion                    ;16052016      ;121525;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
341171031 ;      323600;   ;transacc  ;341171031                               ;16052016      ;121525;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
341171031 ;      323600;   ;transacc  ;341171031                               ;16052016      ;121525;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;      323603;   ;check_mac ;                                        ;16052016      ;121526;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
341171031 ;      323600;   ;transacc  ;341171031                               ;16052016      ;121526;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
341171031 ;      323600;   ;resultado ;33410                                   ;16052016      ;121526;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
341171031 ;      323600;   ;resultado ;33410                                   ;16052016      ;121526;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
341171031 ;      323600;   ;resultado ;33410                                   ;16052016      ;121526;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;      327408;   ;Filtro    ;Inicio                                  ;16052016      ;124144;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      327408;   ;Filtro    ;tbk_param.txt                           ;16052016      ;124144;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      327408;   ;Filtro    ;Terminado                               ;16052016      ;124144;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
341330471 ;      327408;   ;pago      ;inicio                                  ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
341330471 ;      327408;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
341330471 ;      327408;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
341330471 ;      327408;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
341330471 ;      327408;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
341330471 ;      327408;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
341330471 ;      327408;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
341330471 ;      327408;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
341330471 ;      327408;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;124144;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;      327476;   ;resultado ;Desencriptando                          ;16052016      ;124205;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      327476;   ;resultado ;Validacion                              ;16052016      ;124205;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      327476;   ;resultado ;33411                                   ;16052016      ;124205;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      327476;   ;resultado ;33411                                   ;16052016      ;124205;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
341330471 ;      327476;   ;transacc  ;341330471                               ;16052016      ;124205;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
341330471 ;      327476;   ;resultado ;logro abrir_conexion                    ;16052016      ;124205;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
341330471 ;      327476;   ;transacc  ;341330471                               ;16052016      ;124205;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
341330471 ;      327476;   ;transacc  ;341330471                               ;16052016      ;124205;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;      327479;   ;check_mac ;                                        ;16052016      ;124205;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
341330471 ;      327476;   ;transacc  ;341330471                               ;16052016      ;124206;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
341330471 ;      327476;   ;resultado ;33411                                   ;16052016      ;124206;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
341330471 ;      327476;   ;resultado ;33411                                   ;16052016      ;124206;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
341330471 ;      327476;   ;resultado ;33411                                   ;16052016      ;124206;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;      331588;   ;Filtro    ;Inicio                                  ;16052016      ;130939;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      331588;   ;Filtro    ;tbk_param.txt                           ;16052016      ;130939;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      331588;   ;Filtro    ;Terminado                               ;16052016      ;130939;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
341497912 ;      331588;   ;pago      ;inicio                                  ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
341497912 ;      331588;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
341497912 ;      331588;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
341497912 ;      331588;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
341497912 ;      331588;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
341497912 ;      331588;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
341497912 ;      331588;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
341497912 ;      331588;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
341497912 ;      331588;   ;pago      ;https://certificacion.webpay.cl         ;16052016      ;130939;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;      331608;   ;resultado ;Desencriptando                          ;16052016      ;130954;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      331608;   ;resultado ;Validacion                              ;16052016      ;130954;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      331608;   ;resultado ;33412                                   ;16052016      ;130954;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      331608;   ;resultado ;33412                                   ;16052016      ;130954;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
341497912 ;      331608;   ;transacc  ;341497912                               ;16052016      ;130954;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
341497912 ;      331608;   ;resultado ;logro abrir_conexion                    ;16052016      ;130954;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
341497912 ;      331608;   ;transacc  ;341497912                               ;16052016      ;130954;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
341497912 ;      331608;   ;transacc  ;341497912                               ;16052016      ;130954;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;      331611;   ;check_mac ;                                        ;16052016      ;130954;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
