          ;      987038;   ;Filtro    ;Inicio                                  ;31052017      ;104908;201.236.135.68 ;OK ;                    ;Inicio de filtrado                                                      
          ;      987038;   ;Filtro    ;tbk_param.txt                           ;31052017      ;104908;201.236.135.68 ;OK ;                    ;Archivo parseado                                                        
          ;      987038;   ;Filtro    ;Terminado                               ;31052017      ;104908;201.236.135.68 ;OK ;                    ;Datos Filtrados con exito                                               
624214871 ;      987038;   ;pago      ;inicio                                  ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;Parseo realizado                                                        
624214871 ;      987038;   ;pago      ;https://webpay3gint.transbank.cl        ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
624214871 ;      987038;   ;pago      ;https://webpay3gint.transbank.cl        ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;Mac generado                                                            
624214871 ;      987038;   ;pago      ;https://webpay3gint.transbank.cl        ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
624214871 ;      987038;   ;pago      ;https://webpay3gint.transbank.cl        ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
624214871 ;      987038;   ;pago      ;https://webpay3gint.transbank.cl        ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;Datos listos para ser enviados                                          
624214871 ;      987038;   ;pago      ;https://webpay3gint.transbank.cl        ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
624214871 ;      987038;   ;pago      ;https://webpay3gint.transbank.cl        ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;Redireccion web                                                         
624214871 ;      987038;   ;pago      ;https://webpay3gint.transbank.cl        ;31052017      ;104908;201.236.135.68 ;OK ;597026007976        ;Todo OK                                                                 
          ;      987370;   ;resultado ;Desencriptando                          ;31052017      ;105046;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      987370;   ;resultado ;Validacion                              ;31052017      ;105046;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      987370;   ;resultado ;49283                                   ;31052017      ;105046;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;      987370;   ;resultado ;49283                                   ;31052017      ;105046;200.10.14.177  ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
624214871 ;      987370;   ;transacc  ;624214871                               ;31052017      ;105046;200.10.14.177  ;OK ;597026007976        ;conectandose al port :(80)                                              
624214871 ;      987370;   ;resultado ;logro abrir_conexion                    ;31052017      ;105046;200.10.14.177  ; 0 ;597026007976        ;Abrio socket para conex-com                                             
624214871 ;      987370;   ;transacc  ;624214871                               ;31052017      ;105046;200.10.14.177  ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
624214871 ;      987370;   ;transacc  ;624214871                               ;31052017      ;105046;200.10.14.177  ;OK ;597026007976        ;mensaje enviado                                                         
          ;      987373;   ;check_mac ;                                        ;31052017      ;105046;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
624214871 ;      987370;   ;transacc  ;624214871                               ;31052017      ;105046;200.10.14.177  ;OK ;597026007976        ;Llego ACK del Comercio                                                  
624214871 ;      987370;   ;resultado ;49283                                   ;31052017      ;105046;200.10.14.177  ;OK ;597026007976        ;tienda acepto transaccion                                               
624214871 ;      987370;   ;resultado ;49283                                   ;31052017      ;105046;200.10.14.177  ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
624214871 ;      987370;   ;resultado ;49283                                   ;31052017      ;105046;200.10.14.177  ;OK ;597026007976        ;Todo OK                                                                 
