          ;      185091;   ;Filtro    ;Inicio                                  ;21062016      ;162057;201.236.135.68 ;OK ;                    ;Inicio de filtrado                                                      
          ;      185091;   ;Filtro    ;tbk_param.txt                           ;21062016      ;162057;201.236.135.68 ;OK ;                    ;Archivo parseado                                                        
          ;      185091;   ;Filtro    ;Terminado                               ;21062016      ;162057;201.236.135.68 ;OK ;                    ;Datos Filtrados con exito                                               
654045765 ;      185091;   ;pago      ;inicio                                  ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;Parseo realizado                                                        
654045765 ;      185091;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
654045765 ;      185091;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;Mac generado                                                            
654045765 ;      185091;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
654045765 ;      185091;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
654045765 ;      185091;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;Datos listos para ser enviados                                          
654045765 ;      185091;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
654045765 ;      185091;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;Redireccion web                                                         
654045765 ;      185091;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;162057;201.236.135.68 ;OK ;597026007976        ;Todo OK                                                                 
          ;      189635;   ;Filtro    ;Inicio                                  ;21062016      ;164957;201.236.135.68 ;OK ;                    ;Inicio de filtrado                                                      
          ;      189635;   ;Filtro    ;tbk_param.txt                           ;21062016      ;164957;201.236.135.68 ;OK ;                    ;Archivo parseado                                                        
          ;      189635;   ;Filtro    ;Terminado                               ;21062016      ;164957;201.236.135.68 ;OK ;                    ;Datos Filtrados con exito                                               
654219719 ;      189635;   ;pago      ;inicio                                  ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;Parseo realizado                                                        
654219719 ;      189635;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
654219719 ;      189635;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;Mac generado                                                            
654219719 ;      189635;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
654219719 ;      189635;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
654219719 ;      189635;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;Datos listos para ser enviados                                          
654219719 ;      189635;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
654219719 ;      189635;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;Redireccion web                                                         
654219719 ;      189635;   ;pago      ;https://certificacion.webpay.cl         ;21062016      ;164957;201.236.135.68 ;OK ;597026007976        ;Todo OK                                                                 
          ;      189815;   ;resultado ;Desencriptando                          ;21062016      ;165057;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      189815;   ;resultado ;Validacion                              ;21062016      ;165057;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      189815;   ;resultado ;33415                                   ;21062016      ;165057;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      189815;   ;resultado ;33415                                   ;21062016      ;165057;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
654219719 ;      189815;   ;transacc  ;654219719                               ;21062016      ;165057;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
654219719 ;      189815;   ;resultado ;logro abrir_conexion                    ;21062016      ;165057;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
654219719 ;      189815;   ;transacc  ;654219719                               ;21062016      ;165057;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
654219719 ;      189815;   ;transacc  ;654219719                               ;21062016      ;165057;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;      189818;   ;check_mac ;                                        ;21062016      ;165057;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
654219719 ;      189815;   ;transacc  ;654219719                               ;21062016      ;165058;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
654219719 ;      189815;   ;resultado ;33415                                   ;21062016      ;165058;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
654219719 ;      189815;   ;resultado ;33415                                   ;21062016      ;165058;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
654219719 ;      189815;   ;resultado ;33415                                   ;21062016      ;165058;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
