          ;      743284;   ;Filtro    ;Inicio                                  ;13052016      ;154252;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      743284;   ;Filtro    ;tbk_param.txt                           ;13052016      ;154252;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      743284;   ;Filtro    ;Terminado                               ;13052016      ;154252;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
316497269 ;      743284;   ;pago      ;inicio                                  ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
316497269 ;      743284;   ;pago      ;https://certificacion.webpay.cl         ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
316497269 ;      743284;   ;pago      ;https://certificacion.webpay.cl         ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
316497269 ;      743284;   ;pago      ;https://certificacion.webpay.cl         ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
316497269 ;      743284;   ;pago      ;https://certificacion.webpay.cl         ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
316497269 ;      743284;   ;pago      ;https://certificacion.webpay.cl         ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
316497269 ;      743284;   ;pago      ;https://certificacion.webpay.cl         ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
316497269 ;      743284;   ;pago      ;https://certificacion.webpay.cl         ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
316497269 ;      743284;   ;pago      ;https://certificacion.webpay.cl         ;13052016      ;154252;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;      743504;   ;resultado ;Desencriptando                          ;13052016      ;154344;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      743504;   ;resultado ;Validacion                              ;13052016      ;154344;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      743504;   ;resultado ;33405                                   ;13052016      ;154344;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      743504;   ;resultado ;33405                                   ;13052016      ;154344;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
316497269 ;      743504;   ;transacc  ;316497269                               ;13052016      ;154344;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
