          ;      904406;   ;Filtro    ;Inicio                                  ;26022016      ;090851;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      904406;   ;Filtro    ;tbk_param.txt                           ;26022016      ;090851;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      904406;   ;Filtro    ;Terminado                               ;26022016      ;090851;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
648853152 ;      904406;   ;pago      ;inicio                                  ;26022016      ;090851;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
648853152 ;      904406;   ;pago      ;https://certificacion.webpay.cl         ;26022016      ;090851;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
648853152 ;      904406;   ;pago      ;https://certificacion.webpay.cl         ;26022016      ;090851;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
648853152 ;      904406;   ;pago      ;https://certificacion.webpay.cl         ;26022016      ;090851;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
648853152 ;      904406;   ;pago      ;https://certificacion.webpay.cl         ;26022016      ;090851;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
648853152 ;      904406;   ;pago      ;https://certificacion.webpay.cl         ;26022016      ;090851;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
648853152 ;      904406;   ;pago      ;https://certificacion.webpay.cl         ;26022016      ;090851;200.55.212.170 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
648853152 ;      904406;   ;pago      ;https://certificacion.webpay.cl         ;26022016      ;090851;200.55.212.170 ;ERR;597026007976        ;No se pudo decifrar el contenido, posible error de llaves               
648853152 ;      904406;   ;pago      ;https://certificacion.webpay.cl         ;26022016      ;090851;200.55.212.170 ;ERR;597026007976        ;283                                                                     
