          ;      195506;   ;Filtro    ;Inicio                                  ;09032016      ;171908;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      195506;   ;Filtro    ;tbk_param.txt                           ;09032016      ;171908;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      195506;   ;Filtro    ;Terminado                               ;09032016      ;171908;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
755474834 ;      195506;   ;pago      ;inicio                                  ;09032016      ;171908;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
755474834 ;      195506;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171908;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
755474834 ;      195506;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171908;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
755474834 ;      195506;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171908;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
755474834 ;      195506;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171908;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
755474834 ;      195506;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171908;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
755474834 ;      195506;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171908;200.55.212.170 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
755474834 ;      195506;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171908;200.55.212.170 ;ERR;597026007976        ;No se pudo decifrar el contenido, posible error de llaves               
755474834 ;      195506;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171908;200.55.212.170 ;ERR;597026007976        ;283                                                                     
          ;      195513;   ;Filtro    ;Inicio                                  ;09032016      ;171910;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      195513;   ;Filtro    ;tbk_param.txt                           ;09032016      ;171910;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      195513;   ;Filtro    ;Terminado                               ;09032016      ;171910;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
755475060 ;      195513;   ;pago      ;inicio                                  ;09032016      ;171910;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
755475060 ;      195513;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171910;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
755475060 ;      195513;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171910;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
755475060 ;      195513;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171910;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
755475060 ;      195513;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171910;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
755475060 ;      195513;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171910;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
755475060 ;      195513;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171910;200.55.212.170 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
755475060 ;      195513;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171910;200.55.212.170 ;ERR;597026007976        ;No se pudo decifrar el contenido, posible error de llaves               
755475060 ;      195513;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171910;200.55.212.170 ;ERR;597026007976        ;283                                                                     
          ;      195599;   ;Filtro    ;Inicio                                  ;09032016      ;171931;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      195599;   ;Filtro    ;tbk_param.txt                           ;09032016      ;171931;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      195599;   ;Filtro    ;Terminado                               ;09032016      ;171931;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
755477153 ;      195599;   ;pago      ;inicio                                  ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
755477153 ;      195599;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
755477153 ;      195599;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
755477153 ;      195599;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
755477153 ;      195599;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
755477153 ;      195599;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
755477153 ;      195599;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
755477153 ;      195599;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
755477153 ;      195599;   ;pago      ;https://certificacion.webpay.cl         ;09032016      ;171931;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;      195639;   ;resultado ;Desencriptando                          ;09032016      ;171946;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      195639;   ;resultado ;Validacion                              ;09032016      ;171946;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      195639;   ;resultado ;33398                                   ;09032016      ;171946;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      195639;   ;resultado ;33398                                   ;09032016      ;171946;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
755477153 ;      195639;   ;transacc  ;755477153                               ;09032016      ;171946;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
755477153 ;      195639;   ;resultado ;logro abrir_conexion                    ;09032016      ;171946;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
755477153 ;      195639;   ;transacc  ;755477153                               ;09032016      ;171946;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
755477153 ;      195639;   ;transacc  ;755477153                               ;09032016      ;171946;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;      195642;   ;check_mac ;                                        ;09032016      ;171946;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
755477153 ;      195639;   ;transacc  ;755477153                               ;09032016      ;171946;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
755477153 ;      195639;   ;resultado ;33398                                   ;09032016      ;171946;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
755477153 ;      195639;   ;resultado ;33398                                   ;09032016      ;171946;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
755477153 ;      195639;   ;resultado ;33398                                   ;09032016      ;171946;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
