          ;      448892;   ;Filtro    ;Inicio                                  ;03072017      ;180543;201.236.142.15 ;OK ;                    ;Inicio de filtrado                                                      
          ;      448892;   ;Filtro    ;tbk_param.txt                           ;03072017      ;180543;201.236.142.15 ;OK ;                    ;Archivo parseado                                                        
          ;      448892;   ;Filtro    ;Terminado                               ;03072017      ;180543;201.236.142.15 ;OK ;                    ;Datos Filtrados con exito                                               
911954335 ;      448892;   ;pago      ;inicio                                  ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;Parseo realizado                                                        
911954335 ;      448892;   ;pago      ;https://webpay3gint.transbank.cl        ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
911954335 ;      448892;   ;pago      ;https://webpay3gint.transbank.cl        ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;Mac generado                                                            
911954335 ;      448892;   ;pago      ;https://webpay3gint.transbank.cl        ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
911954335 ;      448892;   ;pago      ;https://webpay3gint.transbank.cl        ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
911954335 ;      448892;   ;pago      ;https://webpay3gint.transbank.cl        ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;Datos listos para ser enviados                                          
911954335 ;      448892;   ;pago      ;https://webpay3gint.transbank.cl        ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
911954335 ;      448892;   ;pago      ;https://webpay3gint.transbank.cl        ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;Redireccion web                                                         
911954335 ;      448892;   ;pago      ;https://webpay3gint.transbank.cl        ;03072017      ;180543;201.236.142.15 ;OK ;597026007976        ;Todo OK                                                                 
