          ;      389284;   ;Filtro    ;Inicio                                  ;30112016      ;185639;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      389284;   ;Filtro    ;tbk_param.txt                           ;30112016      ;185639;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      389284;   ;Filtro    ;Terminado                               ;30112016      ;185639;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
054299913 ;      389284;   ;pago      ;inicio                                  ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
054299913 ;      389284;   ;pago      ;https://certificacion.webpay.cl         ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
054299913 ;      389284;   ;pago      ;https://certificacion.webpay.cl         ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
054299913 ;      389284;   ;pago      ;https://certificacion.webpay.cl         ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
054299913 ;      389284;   ;pago      ;https://certificacion.webpay.cl         ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
054299913 ;      389284;   ;pago      ;https://certificacion.webpay.cl         ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
054299913 ;      389284;   ;pago      ;https://certificacion.webpay.cl         ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
054299913 ;      389284;   ;pago      ;https://certificacion.webpay.cl         ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
054299913 ;      389284;   ;pago      ;https://certificacion.webpay.cl         ;30112016      ;185639;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
